ao,q,pax,fngs,date,title,moleskine,bb_type
bleach,hooch,"canuck,hooch,sheets",,2023-08-07,Mix of Stuff I did Last Week,"
*THE THANG:*
All Movements Ruck and SB
-Bear Complex: Front Squat to OH Press to Back Squat to OH Press x 10 OYO
-Bent Over Row x 10 OYO
-Ruck High Pull x 10 OYO
-Good Mornings x 10 OYO

After completing set, as a group, went up and back down the Hill rotating carrying SB(on shoulder carry) and 45 pound Kettlebell Farmer Carry.

Made 5 rotations.",doubledown
warhorse,telecaster,"bandit,big sky,chlorine,escobar,hightower,telecaster",,2023-08-07,The Nashville Star,"*WARMUP:*

SSH 
Abe Vigodas
Waterfall stretch 
LBAC 
CABL

*THE THANG:*

3 Rounds

In a circle with a center Pax…
Center is the timer doing 12 Blockees
Star points of the circle picked index card of an Arms, Legs, or Abs exercise for round 1.  Each round pax had to choose a different body part to workout.  

Once all exercises were picked. I started 12 burpees then rotate clockwise. 

The other 5 star points were:
OVERHEAD PRESS
COUPON SQUATS 
AIR SQUATS
BOBBIE HURLYS
BBSU

Mosey the to plane and back
10 count

Round 2

Center does 12 burpees 

Star point exercises:
FROG LEG SIT-UPS
BENT OVER ROWS
FLAMINGO SQUATS - not a great idea, we tried 😂
MOUNTAIN CLIMBERS
WINDSHIELD WIPERS 

Mosey to the plane and back
10 count

Round 3

Center does 6 blockees

Star point exercises:
COUPON STEP-UPS 
FREDDIE MERCURYS 
SIDE PLANKS switch side at half
LIVING IN A VAN DOWN BY THE RIVER w/ a coupon
SKULL CRUSHERS 

*MARY:*

20 IC American Hammers 
1 min Low Plank

TIME CALLED


*ANNOUNCEMENTS:*

Grow ruck in September 
F2 HIMS Lunch Sat 8/19/23 at @Telecaster house - I’m smoking some pulled pork. I’ll have sandwich fixings; bring a side to share!

*COT:*
Had to be there!!! Pray for @Stitches!!!!!",backblast
black-ops,sushi,"jar jar,ramsay,sushi",,2023-08-06,Easy Valley Heavy Ruck 55,"Blackops Location/time:
#ao-rise
0600~0655

Conditions:
57°F / 14°C
Clear

WARMUP:
Disclaimer
Rucks/Sandbags on

THE THANG:
Ruck to SV Clubhouse
Rucks off for exercises to loosen up shoulders:
Overhead claps x10 IC
Chinooks x10 IC + FJ
Michael Phelps x10 IC
SB Bent-over rows x10 OMU

Continue ruck back to the top of Rise hill, then back to the flags

MARY:
LBC x30 OMU until time

ANNOUNCEMENTS:
Aaron Butler 5K/10K/Unknown K - 08/19
Covering House
GrowRuck - 09/16

COT:
Complete

Strong work today, let's keep it up!",backblast
gem,wooderson,"blackbeard,zilla,kremlin,ramsay,red card,retina,scalp,sheets,wooderson,robin,twister",,2023-08-05,GTE Stations 30/30 Discussion,"*WARMUP:*

15x Potato Pickers
25x LBAC (12 forward, 13 reverse)
Calf Stretch
Worlds greatest Stretch
Michael Phelps

*THE THANG:*

In pairs, work through 6 stations - 1min work (AMRAP), 10sec to rotate. 

Pull Ups
Curls for the Girls
Overhead Coupon Hold
Coupon Swings
BBSU
Merkins

Mosey to bathrooms and back (200yd) - pointed out Defib machine.

Pull Ups
Curls for the Girls
Overhead Coupon Hold
Coupon Swings
BBSU
Merkins

*MARY:* not today

*ANNOUNCEMENTS:*

• GTE registration - https://f3boise.com/gte
• 3rd F Deck Build - see @Husker post in 2nd F
• Aaron Butler
• Covering House - see 3rd F

*COT:*

Life is short - shorter when the loss is unexpected. Prayers for strength and hope.

—————

Imagine showing up to not only welcome our newest relocated PAX, Blackbeard (welcome), but seeing that Twister 🌪️ was back in town. My heart is full this morning as I came back to the gloom of The Home of F3 Boise surrounded by the wisdom, grit, and love that these men bring to the table in support of one another.

30/30 discussion this morning surrounded the 5 Core Principles of F3 - what they mean to PAX, why they’re important, and how F3 has impacted their lives. It’s a beautiful thing to see men post in support of their own goals, and those of their fellow peers. The hardships and joys in life will come for us all. When they do, you won’t be facing either alone.

YHC,
Wooderson - Ax3",backblast
bellagio,methane,"blade,freighter,methane,paneer,samwise,stinger,timney",,2023-08-05,"Pull, throw, carry","*WARMUP:*
Mosey around parking lot.

*THE THANG:*
Sand bag carry to the base of the hill.
Bear Crawl/SB drag up hill
SB clean and toss down the hill
SB bear hug carry to stage
Wall sit while each PAX does 3 burpees for form check
SB Carry to base of hill
Bear Crawl/SB pull up hill
SB clean and toss down the hill
10x SB deadlifts
Repeat this sequence 2 more times

Mosey from stage to end of path, then jail break back to statue
Repeat 1 time

Back to stage
SB carry, SB/BC up hill, SB toss down hill
Repeat back over hill to stage
SB shoulder carry back to parking lot.
Time called at 0559.",doubledown
bleach,backslash,"backslash,canuck,hacksaw,rainbird",,2023-08-05,GTE Prep,"*WARMUP:*
Motivators from 7
Grass grabbers
LBAC
CABL
Tin soldiers

*THE THANG:*
Load up heavy with ruck and sandbag to the bleachers

15 min pace 1 mile ruck around the track
40 hand release merkins
50 BBSU
Bleacher merkins
- 1 incline merkin starting at bottom
- Step up one bleacher, do 2 merkins, step up another, 3 merkins, etc till top
- 17 steps = 153 merkins

Load up heavy with ruck and sandbag back to the flag

*MARY:*
No time

*ANNOUNCEMENTS:* 
Abe’s deck
JEM friends
Covering house
Aaron butler
GTE

*COT:*
Strength and healing
Safe travels 

Strong work today and good job supporting each other. Pleasure as always!

Honorable mention to @Windbag for coming for some great #2nd-f

\",backblast
bellagio,methane,"blade,freighter,methane,paneer,samwise,stinger,timney,yardstick",,2023-08-05,Did we have fun?,"*WARMUP:*
10x FLBACs
10x RLBACs
10x Michael Phelps
20x SSH
10x Grass Grabbers
10x Tin Soldiers
Mosey lap around entire park
 
*THE THANG:*
Deconstructed Burpee (the Inch Worm) - Start in standing position and walk hands out to plank, then do 1x merkin, jump feet up, then 1x broad jump. Continue sequence, adding 1 rep to merkins and broad jump each time until we got to 10.

Walking lunges from one planter to next
Bear crawl from one planter to mid way, then jail break to other planter
Walking lunges - planter to planter
Broad jump half way, jail break rest
Walking lunges planter to planter

Mosey to field
10 mins - dogfight football
10 mins - ultimate frisbee with nerf ball
Mosey around entire loop

*MARY:*
20x flutter kicks
20x LBCs
Plank for 1 min
Time called at 0700.

*ANNOUNCEMENTS:*
Contact Husker to help with Abe's deck
Aaron Butler race
Sign up for GTE

*COT:*
Yep.",backblast
iron-mountain,big sky,"asphalt,big sky,escobar,stitches",,2023-08-05,1 1/4 Laps,"*WARMUP:*

SSH IC x20
Grass grabbers 10 IC
LBAC IC x19
Flapjack LBAC IC x22
Seal claps x21
Overhead clap x20
Michael Phelps IC 10

THE THANG:

Mosey one lap

Last lap was done in the following format 

20 steps rifle carry
10 curls for the girls 
10 merkins 
10 coupon squats
10 big boy sit ups
Repeating 

(we only got 1/4 lap done)
 
Rifle carry coupon to flags

Merry last 5 min until time is called
30 big boy sit ups
25 LBC
20 Freddie Mercury’s
boat canoes until time is called

COR
NOR
COT

ANNOUNCEMENTS",backblast
tower,gopher,"backseat,face plant,gopher,hooch,tater",,2023-08-05,HDT Upper Week 2,"*WARMUP:*
Lots of arms and laughs
*THE THANG:*
3 x 15 Reverse Ruck Curl - Mosey with exercises in between
Super set of:
5 x 15 sandbag press
5 x12 sandbag row
1/2 mile mosey
Emom 11s with Overhead press and reverse grip sandbag row
Mary while waiting for minute to start
1/2 Farmers carry with coupons then trade to sandbag and ruck
Merkin ladder with sprints 10, 20, 30, 10

*MARY:*
During EMOM

*ANNOUNCEMENTS:*
GTE support and volunteers

*COT:*
If you haven't attended a 30:30 discussion, you are missing out. Today was incredible time going one layer deeper and learning about ourselves and others",backblast
gem,sheets,"ramsay,sheets,wooderson",,2023-08-05,Heavy Ruck,"WARMUP:
get ready - minimum of 60 lb in ruck
THE THANG:
1 mile ruck + sandbag optional
minimum of 20 of the following -
ruck on sandbag deadlifts
ruck on sandbag bent over rows
ruck on irkins
ruck swings
leg lifts + ruck press combo
1 mile ruck no sandbag (14 minutes)

MARY:
nope
ANNOUNCEMENTS:
nope
COT:
nope",doubledown
backyard,doodle,"cortana,doodle,face plant,strings",,2023-08-04,Stand Activate Lunge Toss ,"*WARMUP:*
Abe Vigota 
LBAC w/flapjack
Michael Phelps 
Muricans 
Parking lot mosey 

*THE THANG:*

8 rounds 
15 SB floor press
15 Rows 
Odd rounds : front rack carry
Even rounds : Overhead carry

Parking lot mosey 

60 SB overhead press OYO
EMOM SB Row ladder IC (5-10-15-10-5)
PAX hold plank until all PAX complete

Parking lot mosey 

3 Rounds
SALT (SB clean + walking lunge and twist Ea side+ SB toss) to flags 
10 muricans OMD
10 overhead arm claps IC 



*MARY:*
SB sit ups
BBSU
Plank to time 

*ANNOUNCEMENTS:*
Multiple volunteer opportunities coming up. Check the F channels for them all. 

*COT:*
Prayers for the backyard community.",backblast
camels-back-park,tater,"tux,defrost,double wide,metamucil,undercover,pearl,tater,neinstein,wafer,airwolf",airwolf,2023-08-04,It’s just a Crawl Bear,"*WARMUP:*
Mosey lap around the park 
Squat x 10 I/C
Grass Grabbers x 8 I/C
Michael Phelps x 8 I/C
Merkins x 10 I/C
Don Quixote x 10 I/C

5 bonus burpees for missed question on FNG trivia 

*THE THANG:*
LINES - mosey to tennis courts 
Round 1 - 5 squats at each line

Round 2 - 5 merkins at each line broad jump between lines 

Pax trivia passed - Q. Where is Cavity? A. Alaska

Round 3 - 6 Apolo Onos at each line 

TREES - 
Indian lunge walk while weaving through the trees. Pax broads jumps to the front. Exercise complete once all Pax rotate to the front. 

RAMPAGE - mosey to the top of the little hill 
10 Butterfly sit-ups; bear crawl down
10 double crunches; crawl bear up 

Rinse and Repeat 

*MARY:*
Climb to the top of Camels Back hill

*ANNOUNCEMENTS:*
Bootcamps can be slick 😉. Going through the weekly backblasts and we have a heavy reliance on equipment.  Remember to keep the barrier low. Pain can be delivered without weight 

Saturday Pax are called upon to help finish Abe’s deck. 

*COT:*
TAPs for the 116th as they get back from deployment. 

Honored to lead the crew this morning. 

Tater",backblast
ruckership-east,timney,"sheets,sushi,timney",,2023-08-04,Wet Ruck,"*WARMUP:*
Submerge up to waist height in the river
Back to knee height, 1 burpee to get entire body and ruck wet
*THE THANG:*
Try to keep up with Sheets for 3.7 miles, just under 15 minute pace
*MARY:*
*ANNOUNCEMENTS:*
Abe Deck Build - tomorrow, see post from Husker
Growruck, sign up or help out!
Aaron Butler Run 8/19
Covering house fundraiser & mileage tracking - week of 8/21
9/11 miles to remember
*COT:* Completed

Great time with a small group this morning, I've learned not to get discouraged with low numbers because it's often the best conversation.",backblast
ruckership-west,escobar,"big sky,escobar",,2023-08-04,Welcome to my house,"WARMUP:
THE THANG:
Rucked 2.12  miles

MARY:

ANNOUNCEMENTS:
Covering House Challenge
Aaron Butler MemorRun  on August 19th
Upcoming 2nd F Evet hosted by @Telecaster
Keep training for GTE

COT:
Praying for the health of all PAX and the growth or our AO. ",backblast
gem,sheets,"cauliflower,gas man,hard tail,huckleberry,zilla,kremlin,princess,sheets,strings,turducken,yardstick,lilo",hard tail,2023-08-03,Peach Fuzz,"WARMUP:
5 to 1 motivators
Abe Vigoda
Tin Soldier/Jazz Soldier
Side Plank + Reach (Both Sides)
Grass Grabber
Lurpees (lead by @Zilla)
Parking Lot Mosey + Indian Run to Tennis Courts

THE THANG:
Burpees
Tennis Court Suicides + Air Squats + Bonnie Blairs (2x)
Length of Tennis Court Bear Crawl/Crawl Bear back + Merkins + Mountain Climbers
Length of Tennis Court Crab Walk Forward/Reverse + Frog Leg Situps + American Hammers
Length of Tennis Court Broad Jump/Backpedal + Mike Tysons + Plank Shoulder Taps + Plank Hip Taps + Plank Jacks
Tennis Court Suicides + Air Squats + Bonnie Blairs
Joined by teenagers that looked like they had been up to no good all night
Tennis Court Suicides + Merkins + Mountain Climbers
Teenagers left to go do what teenagers do at 5:50 in the morning
Wall Sits + Burpees

Jail Break back to Flags

MARY:
No Surrenders until 6AM

ANNOUNCEMENTS:
GTE38 - Sign up to do it or volunteer (see @Huckleberry)
Check out the # 3rd-f channel --
Abe's Wife's Deck Build
Jem Friends Lawn Work
Covering House
Aaron Butler Run

THAT'S WHAT SHEETS SAID:
Our daily habits are what will lead us to success and contentment in life.  Everything from what we put into our bodies, when we go to bed and get up in the morning, what we do in our free time and watch on TV, the language we choose to use, and especially the people we surround ourselves with.  I have chosen to start my days getting up for an early BD and surround myself with people that are good influences on my life (my F3 Brothers).  This is applicable for all of us, but especially the young men who joined - now is the time to rethink our habits and make those good choices automatic in our lives and get rid of the garbage.  Thank you all for being there for me this morning!

COT: Yes, please, and thank you.  @Strings with prayer to take us out.

SPECIAL THANKS:  It was a great day to have three young men with us.  @Huckleberry and @Yardstick - great work getting those 2.0s to join.  They all held their own.  I was proud to bring my 2.0 out to see something that is important in my life and show him the example set by all of you HIMs.",backblast
bellagio,stinger,"blade,freighter,methane,sand trap,stinger",,2023-08-03,Ruck pace,"*WARMUP:*
Some stretches here and there

*THE THANG:*
2 mile ruck with 50lb+. Under 30 min to keep the 15 min pace for GTE. Finished at 29:44 min. 

*MARY:*
Baby crunches - IC x 70
Side straddle hops - IC x 101
Load up Freighter’s truck

*ANNOUNCEMENTS:* 
None

*COT:*
Done",backblast
tower,doppler,"cortana,doppler,gopher,tater",,2023-08-03,EMOM LADDER,"*WARMUP:*

Mountain Climbers 15x3

*THE THANG:*

11’s Ladder EMOM
Hack Squats (sandbag behind calves) with ruck
Good Mornings with ruck

Superset
Squats w/ heels raised 3x15
Sandbag Romanian Deadlift 3x15

*CASHOUT:*

½ mile farmers carry with ruck and coupon

*MARY:*

½ mile heavy ruck

*ANNOUNCEMENTS:*

Help build Abes Deck: see 2nd F channel post by (@Husker)
Gem Friends volunteer opportunity this weekend: see 3rd F channel post by (@Gopher)

*COT:*

We prayed for our friends, we prayed for our neighbors, we prayed for Growruck to be a chance for our region to come together",backblast
bellagio,freighter,"blade,freighter,methane,sand trap,stinger",,2023-08-03,Bait-and-Switch,"*THE THANG:*
Ruck or Weight vest on
60-yard 100 lb. burden bag bear hug carry
Mosey back
10 SB squats or 10 curls 
60-yard SB toss
Mosey back
10 Step ups or 10 table squats
60-yard table carry with 100 SB
Repeat this 5x until we hit the end of the parking lot which is 300 yards.
300-yard Burden bag bear hug carry back to vehicles. If any pax drops a bag, we all do 3 burpees. A total of 6 burpees were completed. 
Honorable Mention Paneer",doubledown
rebel,tenor,"backslash,canuck,face plant,family guy,hipaa,dutch,sushi,tenor",,2023-08-03,Loops Owned,"*WARMUP:* 1 Loop
*THE THANG:* Timed 2 mile
*MARY:* Ruck/Run till time
*ANNOUNCEMENTS:* GTE, Aaron Butler, Gopher Volunteer Post
*COT:* Topics in Circle",backblast
